,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,156.0,U,91.67,"81,023","1,701,486","7,427,631",21/25,Live Nation Global Touring
1,2,97.7,Taylor Swif,71.54,"23,146","1,365,618","1,655,979",59/80,The Messina Group / WMEE
2,3,84.6,Kenny Chesne,72.78,"22,788","1,162,210","1,658,597",51/55,Dale Morris & Associates
3,4,63.7,Lady Gag,96.77,"17,796","658,446","1,722,078",37/39,William Morris Endeavor Entertainment
4,5,57.1,Bon Jov,99.63,"21,231","573,224","2,115,092",27/34,Creative Artists Agency
5,6,51.8,Elton Joh,111.14,"11,368","466,078","1,263,415",41/58,The Howard Rose Agency
6,7,48.6,Sad,91.49,"11,301","531,156","1,033,917",47/54,Live Nation
7,8,48.3,Kanye West / Jay-,121.34,"14,216","398,055","1,725,000",28/35,William Morris Endeavor Ent. / Roc Nation
8,9,44.4,Lil Wayn,79.79,"7,949","556,460","634,286",70/71,Al Haymon / Live Nation
9,10,41.2,Celine Dio,166.71,"4,336","247,135","722,807",1/57,United Talent Agency
10,11,40.7,New Kids On The Block / Backstreet Boy,67.41,"12,582","603,935","848,206",48/52,CAA / William Morris Endeavor Ent.
11,12,40.3,Cirque du Soleil - “Dralion,66.04,"13,265","610,202","876,085",46/299,Cirque du Soleil
12,13,38.4,Bob Seger & The Silver Bullet Ban,71.67,"11,900","535,508","852,938",45/48,United Talent Agency
13,14,38.3,Britney Spear,90.54,"9,196","423,017","832,609",46/47,William Morris Endeavor Entertainment
14,15,37.4,Journe,53.39,"12,065","699,789","644,174",58/58,William Morris Endeavor Entertainment
15,16,34.0,Cirque du Soleil - “Michael Jackson: The Immortal,116.04,"15,421","293,002","1,789,474",19/51,Cirque du Soleil
16,17,32.9,Luis Migue,94.29,"11,256","348,923","1,061,290",31/70,William Morris Endeavor Entertainment
17,18,32.4,Trans-Siberian Orchestr,49.37,"6,191","656,268","305,660",106/129,William Morris Endeavor Entertainment
18,19,30.9,Cirque du Soleil - “Quidam,67.96,"13,000","454,999","883,495",35/272,Cirque du Soleil
19,20,30.9,Paul McCartne,126.57,"40,689","244,133","5,150,000",6/9,MPL Communications
20,21,30.0,Dave Matthews Band Caravan (Estimate,125.00,"48,000","240,000","6,000,000",5/13,Paradigm
21,22,28.5,Phis,53.95,"24,012","528,266","1,295,455",22/38,Paradigm
22,23,28.4,Katy Perr,42.93,"11,810","661,368","506,952",56/60,Creative Artists Agency
23,24,28.3,Jason Aldea,34.63,"13,181","817,210","456,452",62/62,Buddy Lee Attractions
24,25,28.0,Princ,100.73,"10,295","277,970","1,037,037",27/45,Live Nation
25,26,27.5,Cirque du Soleil - “Alegria,62.99,"16,198","437,333","1,020,291",27/210,Cirque du Soleil
26,27,27.3,Keith Urba,57.96,"8,551","470,325","495,678",55/57,Creative Artists Agency
27,28,27.1,“Glee Live! In Concert!,82.25,"17,350","329,651","1,427,020",19/28,Creative Artists Agency
28,29,25.5,Toby Keit,39.74,"13,654","641,751","542,603",47/47,Paradigm
29,30,24.0,Jeff Dunha,47.92,"5,218","500,957","250,063",96/103,Creative Artists Agency
30,31,23.9,Tim McGra,43.09,"10,854","553,572","467,704",51/51,Creative Artists Agency
31,32,23.4,Enrique Iglesia,70.57,"10,701","331,741","755,152",31/34,Creative Artists Agency
32,33,22.7,Sugarlan,47.28,"8,905","480,848","421,028",54/56,Creative Artists Agency
33,34,22.5,Rihann,69.76,"11,511","322,316","803,049",28/31,William Morris Endeavor Entertainment
34,35,22.1,Rod Stewart / Stevie Nick,106.60,"12,195","207,317","1,300,000",17/18,Artist Group Int’l / The Howard Rose Agency
35,36,22.1,Jimmy Buffet,87.59,"9,704","252,311","850,000",26/27,The Howard Rose Agency
36,37,22.0,Rascal Flatt,41.02,"12,783","536,885","524,422",42/42,William Morris Endeavor Entertainment
37,38,22.0,“American Idols Live,54.52,"8,971","403,695","489,071",45/47,Creative Artists Agency
38,39,22.0,Kid Roc,49.21,"5,322","447,063","261,905",84/86,Creative Artists Agency
39,40,21.2,Rain - A Tribute To The Beatle,59.15,"3,695","358,410","218,557",97/364,The Road Company
40,41,21.1,Mötley Crü,55.93,"7,397","377,257","413,725",51/51,Artist Group International
41,42,20.6,Brad Paisle,42.27,"13,926","487,398","588,569",35/35,William Morris Endeavor Entertainment
42,43,20.0,Foo Fighter,48.89,"11,679","408,761","570,978",35/36,William Morris Endeavor Entertainment
43,44,19.7,Janet Jackso,93.21,"5,303","212,134","494,336",40/53,William Morris Endeavor Entertainment
44,45,19.7,Man,74.94,"16,430","262,876","1,231,250",16/25,Angelo Medina & Ulises Calleros / Music Tours
45,46,19.4,Tiëst,58.14,"4,171","333,677","242,500",80/86,AM Only
46,47,19.2,Def Leppard / Hear,51.07,"8,364","376,396","427,140",45/45,Artist Group International / Creative Artists Agency
47,48,19.0,Ricky Marti,69.69,"8,520","272,635","593,750",32/40,Creative Artists Agency
48,49,19.0,George Strait / Reba / Lee Ann Womac,76.97,"13,691","246,435","1,053,755",18/18,The Erv Woolsey Agency / WMEE
49,50,18.5,Furthu,51.91,"7,273","356,386","377,551",49/71,Paradigm
50,51,18.3,Rus,75.02,"9,757","243,934","732,000",25/26,Artist Group Int’l / S.L. Feldman & Associates
51,52,17.9,Zac Brown Ban,43.69,"10,782","409,704","471,053",38/40,Creative Artists Agency
52,53,17.4,“Riverdance,56.33,"3,715","308,380","209,286",83/199,William Morris Endeavor Entertainment
53,54,17.0,Train / Maroon ,41.97,"10,954","405,310","459,749",37/37,Creative Artists Agency
54,55,17.0,Josh Groba,76.31,"3,776","222,775","288,136",59/59,William Morris Endeavor Entertainment
55,56,16.8,Andrea Bocell,180.22,"9,322","93,219","1,680,000",10/10,Pentagon Music Management
56,57,16.6,“Honda Civic Tour” / Blink-18,37.19,"11,181","447,249","415,811",40/41,Creative Artists Agency
