,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,250.4,Taylor Swif,110.15,"42,893","2,273,328","4,724,687",53/83,Messina Touring Group
1,2,210.2,One Directio,88.91,"43,785","2,364,390","3,892,872",54/85,Creative Artists Agency
2,3,180.0,AC/D,77.92,"46,201","2,310,061","3,600,020",50/54,Creative Artists Agency
3,4,152.2,U,118.35,"58,473","1,286,416","6,920,365",22/76,Live Nation Global Touring
4,5,127.0,Foo Fighter,75.50,"27,575","1,682,053","2,082,016",61/67,WME / Creative Artists Agency
5,6,125.1,Fleetwood Ma,125.61,"16,064","995,939","2,017,742",62/78,Creative Artists Agency
6,7,117.3,Ed Sheera,64.33,"20,037","1,823,410","1,289,011",91/110,Paradigm Talent Agency / Free Trade Agency
7,8,116.4,Kenny Chesne,85.37,"26,729","1,363,190","2,281,958",51/57,Dale Morris & Associates
8,9,114.9,Garth Brook,64.47,"77,488","1,782,224","4,995,652",23/120,Bob Doyle & Associates
9,10,109.7,The Rolling Stone,174.50,"44,910","628,733","7,836,716",14/14,AEG Live
10,11,88.4,Madonn,127.55,"18,731","693,061","2,389,189",37/50,Live Nation Global Touring
11,12,82.2,Kevin Har,73.00,"10,331","1,126,027","754,128",109/137,APA
12,13,77.7,Paul McCartne,155.76,"26,255","498,844","4,089,474",19/23,MPL Communications
13,14,77.6,Elton Joh,124.49,"11,987","623,343","1,492,308",52/86,APA
14,15,76.8,Violett,73.19,"20,986","1,049,323","1,536,000",50/145,DG Entertainment
15,16,72.0,Maroon ,81.58,"16,344","882,569","1,333,333",54/62,CAA / International Talent Booking
16,17,71.8,Luke Brya,55.48,"22,705","1,294,160","1,259,649",57/75,WME
17,18,69.9,Billy Joe,106.47,"36,473","656,522","3,883,333",18/29,Artist Group International
18,19,69.0,Shania Twai,98.13,"10,818","703,148","1,061,538",65/69,Creative Artists Agency
19,20,68.0,Neil Diamon,106.87,"11,362","636,287","1,214,286",56/68,WME
20,21,67.2,Take Tha,104.27,"24,788","644,480","2,584,615",26/54,CODA
21,22,58.0,Juan Gabrie,100.71,"10,284","575,911","1,035,714",56/72,God Is Music SA de CV
22,23,54.0,Def Leppar,54.43,"10,334","992,099","562,500",96/96,Artist Group Int’l / International Talent Booking
23,24,54.0,Eagle,159.44,"10,584","338,686","1,687,500",32/38,Creative Artists Agency
24,25,52.4,Cirque du Soleil - “Varekai,62.94,"19,358","832,406","1,218,338",43/312,Cirque du Soleil
25,26,52.2,Grateful Dead - “Fare Thee Well,144.32,"180,967","361,933","26,116,207",2/5,Peter Shapiro
26,27,51.0,Katy Perr,88.46,"14,783","576,531","1,307,692",39/43,Creative Artists Agency
27,28,50.0,Dave Matthews Ban,58.13,"14,101","860,141","819,672",61/69,Paradigm Talent Agency / Int’l Talent Booking
28,29,48.0,Cirque du Soleil - “Totem,96.13,"15,592","498,941","1,498,798",32/278,Cirque du Soleil
29,30,47.8,Trans-Siberian Orchestr,57.19,"13,709","836,258","783,969",61/102,WME
30,31,47.0,David Gilmou,100.47,"31,187","467,801","3,133,333",15/20,Unted Talent Agency
31,32,46.1,Zac Brown Ban,52.69,"17,862","875,232","941,114",49/55,Creative Artists Agency
32,33,46.0,Chris Brow,61.55,"11,863","747,359","730,159",63/64,ICM Partners
33,34,45.2,Imagine Dragon,53.09,"9,356","851,384","496,703",91/92,Paradigm Talent Agency / CODA
34,35,44.5,Cirque du Soleil - “Kurios,87.82,"16,364","507,281","1,437,076",31/274,Cirque du Soleil
35,36,42.4,Cirque du Soleil - “Amaluna,74.60,"18,340","568,553","1,368,230",31/286,Cirque du Soleil
36,37,42.1,Mötley Crü,74.15,"7,187","567,768","532,911",79/84,Artist Group International
37,38,42.0,Helene Fische,65.04,"58,705","645,756","3,818,182",11/18,Künstlermanagement Uwe Kanthak
38,39,41.8,André Rie,81.09,"9,050","515,875","733,878",57/80,André Rieu Productions
39,40,41.8,Ariana Grand,51.69,"10,502","808,667","542,857",77/81,Creative Artists Agency
40,41,41.7,Cirque du Soleil - “Quidam,70.07,"17,502","595,077","1,226,437",34/253,Cirque du Soleil
41,42,37.8,Rus,85.41,"13,010","442,337","1,111,182",34/35,Artist Group International / The Feldman Agency
42,43,37.0,5 Seconds Of Summe,47.15,"12,456","784,757","587,319",63/69,Creative Artists Agency
43,44,36.6,Bette Midle,127.54,"9,889","286,787","1,261,273",29/32,Creative Artists Agency
44,45,34.5,Jason Aldea,48.52,"12,946","712,015","628,115",55/58,WME
45,46,31.7,Queen + Adam Lamber,99.34,"10,637","319,106","1,056,667",30/31,Creative Artists Agency
46,47,31.2,Cirque du Soleil - “Kooza,91.97,"12,120","339,365","1,114,674",28/220,Cirque du Soleil
47,48,29.5,Florida Georgia Lin,41.37,"13,205","713,077","546,296",54/54,WME
48,49,28.6,Mumford & Son,57.76,"17,684","495,152","1,021,429",28/35,The Billions Corporation / Int’l Talent Booking
49,50,28.1,Stevie Wonde,92.45,"8,940","303,948","826,471",34/34,Creative Artists Agency
50,51,28.0,Mark Knopfle,72.57,"5,077","385,834","368,421",76/80,WME / Sensible Events
51,52,27.2,Chayann,87.04,"8,681","312,500","755,556",36/49,Chaf Enterprises
52,53,27.1,Robbie William,115.27,"10,222","235,100","1,178,261",23/31,Creative Artists Agency
53,54,27.0,Luis Migue,78.64,"7,985","343,336","627,907",43/60,WME
54,55,26.7,The Scrip,50.96,"9,033","523,940","460,345",58/62,Creative Artists Agency
55,56,26.4,Phis,71.53,"21,701","368,921","1,552,303",17/25,Paradigm Talent Agency
56,57,26.3,Sam Smit,53.58,"9,440","490,854","505,769",52/62,WME / Creative Artists Agency
57,58,26.2,Man,82.58,"11,331","317,268","935,714",28/32,Angelo Medina Group
58,59,26.1,Britney Spear,136.83,"3,181","190,847","435,211",1/60,Creative Artists Agency
59,60,26.1,New Kids On The Bloc,60.32,"10,302","432,692","621,429",42/47,Creative Artists Agency
60,61,26.1,Sting/Paul Simo,115.85,"8,046","225,291","932,143",28/29,Solo Agency / International Talent Booking
61,62,26.0,Van Hale,69.05,"10,459","376,538","722,222",36/39,Azoffmusic Management
