,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,316.0,U,116.47,"71,398","2,713,136","8,315,798",38/50,Live Nation Global Touring
1,2,292.5,Guns N' Rose,109.16,"36,216","2,679,962","3,953,322",74/81,United Talent Agency / Int'l Talent Booking
2,3,238.0,Coldpla,96.81,"61,461","2,458,423","5,950,000",40/54,Paradigm Talent Agency / X-ray Touring
3,4,200.1,Bruno Mar,98.57,"22,066","2,030,029","2,175,000",92/121,WME
4,5,152.8,Metallic,97.60,"40,143","1,565,573","3,917,949",39/45,Artist Group Int'l / K2 Agency
5,6,141.1,Depeche Mod,78.06,"27,388","1,807,583","2,137,879",66/73,WME
6,7,132.0,Paul McCartne,146.15,"33,445","903,020","4,887,982",27/36,MPL Communications / Marshall Arts
7,8,124.1,Ed Sheera,81.33,"17,743","1,525,882","1,443,023",86/111,Paradigm Talent Agency / Creative Artists Agency
8,9,120.0,The Rolling Stone,158.81,"62,945","755,345","9,996,473",12/14,AEG Presents
9,10,101.4,Garth Brook,70.81,"53,034","1,431,921","3,755,556",27/93,WME
10,11,101.2,Celine Dio,148.12,"23,560","683,229","3,489,655",29/90,CDA Productions
11,12,93.7,Justin Biebe,89.72,"40,148","1,043,839","3,602,115",26/29,Creative Artists Agency
12,13,92.1,Roger Water,121.79,"16,439","756,189","2,002,093",46/63,Sensible Events
13,14,85.7,Lady Gag,116.24,"21,062","737,155","2,448,104",35/41,Creative Artists Agency
14,15,82.3,Billy Joe,114.88,"39,800","716,399","4,572,222",18/28,Artist Group International
15,16,80.0,The Weekn,80.67,"14,167","991,694","1,142,857",70/76,WME
16,17,79.3,Tim McGraw / Faith Hil,85.11,"13,314","931,959","1,133,135",70/79,Creative Artists Agency
17,18,73.5,Red Hot Chili Pepper,83.33,"15,208","882,035","1,267,241",58/67,WME / Creative Artists Agency
18,19,66.5,Ariana Grand,75.64,"12,742","879,164","963,768",69/77,Creative Artists Agency
19,20,64.7,Tom Petty & The Heartbreaker,93.29,"18,242","693,192","1,701,815",38/46,WME
20,21,64.1,Stin,84.49,"7,512","758,669","634,653",101/115,Creative Artists Agency
21,22,64.0,Green Da,57.08,"12,321","1,121,233","703,297",91/95,Creative Artists Agency
22,23,63.9,Elton Joh,93.38,"10,528","684,308","983,077",65/90,Howard Rose Agency / Rocket Music Ent. Group
23,24,63.4,Neil Diamon,100.98,"12,073","627,808","1,219,155",52/56,WME
24,25,62.0,Robbie William,108.71,"24,797","570,324","2,695,652",23/31,X-ray Touring
25,26,61.8,Cirque du Soleil - “Kurious,80.66,"15,324","766,179","1,236,000",50/411,Cirque du Soleil
26,27,61.5,Trans-Siberian Orchestr,61.18,"16,212","1,005,130","991,787",62/102,WME
27,28,60.1,Cirque du Soleil - “Lúzia,84.89,"14,448","707,975","1,226,531",49/403,Cirque du Soleil
28,29,60.0,Cirque du Soleil - “Toruk - The First Flight,79.38,"24,393","756,191","1,936,367",31/169,Cirque du Soleil
29,30,59.0,Adel,98.33,"100,000","600,000","9,833,333",6/11,International Talent Booking
30,31,58.1,Eric Churc,61.67,"14,274","942,111","880,303",66/71,WME
31,32,56.2,Florida Georgia Lin,54.82,"14,043","1,025,173","769,863",73/76,WME
32,33,56.0,Luke Brya,54.54,"16,298","1,026,769","888,889",63/71,WME
33,34,55.9,Drak,93.15,"21,432","600,107","1,996,429",28/46,WME
34,35,54.2,Cirque du Soleil - “Ovo,72.52,"16,986","747,380","1,231,818",44/308,Cirque du Soleil
35,36,54.0,John Maye,67.43,"13,133","801,119","885,521",61/64,WME
36,37,52.3,Queen + Adam Lamber,97.76,"10,918","534,983","1,067,347",49/51,Creative Artists Agency
37,38,51.8,Dead & Compan,84.46,"23,578","613,025","1,991,381",26/33,WME
38,39,49.5,Take Tha,93.08,"25,324","531,800","2,357,143",21/39,CODA
39,40,48.2,Britney Spear,163.20,"10,548","295,343","1,721,429",28/70,Creative Artists Agency
40,41,48.2,Cirque du Soleil - “Amaluna,79.97,"15,848","602,239","1,267,336",38/290,Cirque du Soleil
41,42,47.7,André Rie,82.60,"7,811","577,996","645,166",74/89,WME
42,43,47.5,Radiohea,75.98,"29,780","625,378","2,262,611",21/23,Creative Artists Agency / 13 Artists
43,44,45.4,Bon Jov,84.75,"17,856","535,693","1,513,333",30/32,Creative Artists Agency
