,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,277.3,Taylor Swif,124.99,"80,322","2,168,706","10,271,531",27/40,Messina Touring Group
1,2,166.4,Jay-Z / Beyonc,128.23,"54,085","1,298,038","6,935,409",24/30,Live Nation
2,3,166.0,Eagle,172.13,"21,428","964,245","3,688,308",45/53,Creative Artists Agency
3,4,114.4,Kenny Chesne,88.15,"32,443","1,297,731","2,860,007",40/42,Dale Morris & Associates
4,5,110.0,Justin Timberlak,138.87,"19,795","791,780","2,748,832",40/50,WME
5,6,105.0,Ed Sheera,92.42,"54,119","1,136,497","5,001,537",21/24,Paradigm Talent Agency
6,7,97.8,Journey / Def Leppar,97.79,"17,246","1,000,272","1,686,460",58/60,CAA / Artist Group International
7,8,95.3,Pin,138.46,"18,120","688,558","2,508,798",38/46,Marshall Arts
8,9,88.3,“Springsteen On Broadway,508.93,"4,231","173,461","2,153,146",41/183,Thrill Hill Productions
9,10,79.0,Drak,116.46,"35,706","678,410","4,158,145",19/43,WME
10,11,73.3,Luke Brya,73.66,"19,893","994,648","1,465,269",50/51,WME
11,12,61.5,U,140.39,"25,768","438,059","3,617,680",17/27,Live Nation Global Touring
12,13,60.6,Bruno Mar,133.41,"26,730","454,415","3,566,036",17/31,WME
13,14,59.4,Luis Migue,110.28,"11,976","538,901","1,320,654",45/64,WME
14,15,58.7,Billy Joe,120.94,"23,121","485,533","2,796,155",21/21,Artist Group International
15,16,53.7,Trans-Siberian Orchestr,58.04,"16,234","925,345","942,297",57/94,WME
16,17,48.5,Kevin Har,73.48,"11,185","659,908","821,856",59/62,WME
17,18,47.7,Dave Matthews Ban,66.53,"19,365","716,489","1,288,333",37/46,Paradigm Talent Agency
18,19,46.3,Dead & Compan,76.82,"20,801","603,225","1,597,977",29/34,WME
19,20,45.6,Shania Twai,85.80,"12,642","530,979","1,084,719",42/46,Creative Artists Agency
20,21,42.9,Foo Fighter,75.62,"18,894","566,814","1,428,743",30/33,WME
21,22,40.3,Cirque du Soleil - “Lúzia,88.30,"13,438","456,875","1,186,511",34/279,Cirque du Soleil Entertainment Group
22,23,39.0,Keith Urba,64.17,"10,477","607,650","672,284",58/62,Creative Artists Agency
23,24,38.9,Phis,67.40,"36,101","577,620","2,433,347",16/38,Paradigm Talent Agency
24,25,38.7,Cirque du Soleil - “Crystal,58.84,"19,348","657,831","1,138,449",34/249,Cirque du Soleil Entertainment Group
25,26,38.1,Imagine Dragon,58.11,"17,234","654,905","1,001,485",38/41,Paradigm Talent Agency
26,27,38.0,Phil Collin,144.35,"13,848","263,105","1,998,946",19/20,Solo Agency
27,28,36.6,Romeo Santo,93.44,"11,513","391,457","1,075,829",34/38,Johnny Marines Enterprises
28,29,35.3,Sam Smit,75.09,"12,039","469,522","903,966",39/41,WME
29,30,34.0,Fleetwood Ma,129.48,"12,492","262,333","1,617,438",21/21,Creative Artists Agency
30,31,33.7,Elton Joh,136.16,"20,663","247,960","2,813,597",12/17,The Howard Rose Agency
31,32,33.7,Jason Aldea,53.91,"17,884","625,929","964,086",35/35,WME
32,33,33.7,Jennifer Lope,195.79,"3,830","172,332","749,787",1/45,Creative Artists Agency
33,34,33.2,Andrea Bocell,173.00,"14,762","191,911","2,553,874",13/14,Klassics Music Management Limited
34,35,32.8,Chris Stapleto,59.87,"14,408","547,497","862,665",38/39,WME
35,36,31.9,Zac Brown Ban,57.76,"26,318","552,674","1,520,203",21/25,Creative Artists Agency
36,37,31.6,Bon Jov,102.16,"14,717","309,048","1,503,501",21/24,Creative Artists Agency
37,38,31.3,Maroon ,100.12,"13,597","312,720","1,361,349",23/25,WME
38,39,30.8,Harry Style,76.78,"18,228","401,010","1,399,446",22/25,Creative Artists Agency
39,40,30.4,Kid Roc,72.63,"12,295","418,013","892,894",34/36,Creative Artists Agency
40,41,27.5,Paul Simo,98.07,"13,329","279,919","1,307,250",21/24,Creative Artists Agency
41,42,27.2,Lynyrd Skynyr,51.16,"13,629","531,514","697,196",39/39,WME
42,43,26.7,Metallic,126.82,"16,197","210,556","2,054,032",13/13,Artist Group International
43,44,25.8,Rod Stewar,83.58,"11,417","308,266","954,282",27/28,Artist Group International
44,46,25.1,Cirque du Soleil - “Volta,82.78,"12,110","302,756","1,002,483",25/191,Cirque du Soleil Entertainment Group
45,47,25.0,Shakir,113.30,"12,976","220,588","1,470,137",17/18,Creative Artists Agency
46,48,24.6,Katy Perr,88.35,"13,927","278,535","1,230,429",20/23,Creative Artists Agency
47,49,24.6,Steve Martin / Martin Shor,112.25,"3,368","218,895","378,021",65/71,WME
48,50,24.2,Jay-,103.07,"15,673","235,097","1,615,352",15/17,Live Nation
49,51,23.8,Pearl Ja,89.35,"66,550","266,198","5,946,451",4/7,WME
50,52,22.3,Panic! At The Disc,59.64,"12,871","373,257","767,592",29/29,Creative Artists Agency
51,53,21.8,Cirque du Soleil - “Corteo,63.48,"14,320","343,683","908,976",24/156,Cirque du Soleil Entertainment Group
52,54,21.6,Ozun,75.55,"11,032","286,824","833,484",26/27,Saavedra Booking
53,55,21.5,Sebastian Maniscalc,80.78,"6,656","266,244","537,671",40/82,United Talent Agency
54,56,21.3,Tim McGraw / Faith Hil,77.80,"10,146","273,952","789,394",27/28,Creative Artists Agency
55,57,21.8,James Taylo,90.17,"9,825","235,807","885,958",24/25,Creative Artists Agency
