,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,$115.5,The Rolling Stones,223.56,"43,052","516,624","$9,624,849",11/12,Concerts West
1,2,$86.7,Harry Styles,129.62,"17,155","669,051","$2,223,692",30/39,Creative Artists Agency
2,3,$67.3,“The Hella Mega Tour”,102.09,"32,953","659,062","$3,364,342",20/20,Creative Artists Agency
3,4,$59.2,Eagles,229.66,"11,199","257,584","$2,572,053",12/23,Creative Artists Agency
4,5,$50.2,Dead & Company,85.36,"18,989","588,658","$1,620,862",25/31,WME
5,6,$49.7,Los Bukis,138.99,"39,705","357,343","$5,518,573",6/9,MNS2
6,7,$47.3,Guns N’ Roses,134.75,"15,276","351,339","$2,058,329",21/23,United Talent Agency
7,8,$46.0,Dave Matthews Band,78.78,"14,229","583,399","$1,120,988",30/41,Wasserman Music
8,9,$44.4,Phish,77.57,"16,361","572,626","$1,269,127",18/35,Wasserman Music
9,10,$42.5,Jonas Brothers,80.34,"12,586","528,630","$1,011,193",40/42,United Talent Agency
10,11,$35.0,Chris Stapleton,67.72,"15,648","516,395","$1,059,711",30/33,WME
11,12,$33.7,Grupo Firme,98.11,"10,397","343,111","$1,020,049",21/33,TuStreams
12,13,$33.6,Luke Bryan,64.17,"14,134","522,966","$907,006",35/37,WME
13,14,$32.6,Maroon 5,69.63,"15,587","467,607","$1,085,369",30/30,Creative Artists Agency
14,15,$30.1,Enrique Iglesias / Ricky Martin,112.01,"11,680","268,632","$1,308,239",20/23,Creative Artists Agency
15,16,$29.4,Alanis Morissette,58.73,"14,685","499,296","$862,432",33/34,WME
16,17,$26.6,James Taylor,107.35,"9,539","248,008","$1,023,968",26/26,Creative Artists Agency
17,18,$25.4,Garth Brooks,94.00,"67,625","270,500","$6,356,750",4/4,WME
18,19,$25.0,Maluma,104.99,"9,144","237,741","$960,030",26/26,WK Entertainment
19,20,$24.0,Bruno Mars,330.73,"4,544","72,701","$1,502,782",8/16,WME
20,21,$22.0,Dave Chappelle,166.35,"8,821","132,311","$1,467,321",6/15,Gersh
21,22,$20.9,Luke Combs,56.51,"14,767","369,181","$834,527",20/25,WME
22,23,$20.8,Aventura,129.34,"40,246","160,982","$5,205,399",4/4,Global Talent Booking
23,24,$20.8,Zac Brown Band,66.97,"15,493","309,866","$1,037,611",18/20,WME
24,25,$20.3,Pitbull,47.93,"12,865","424,545","$616,651",33/33,United Talent Agency
25,26,$20.3,Eric Church,103.25,"15,154","197,007","$1,564,683",13/13,WMA
26,27,$19.8,Sebastian Maniscalco,98.56,"2,955","200,917","$291,220",31/68,United Talent Agency
27,28,$17.4,Billy Joel,130.30,"33,469","133,877","$4,360,883",4/4,Artist Group International
28,29,$16.9,KISS,83.85,"9,175","201,852","$769,311",22/22,CAA / International Talent Booking
29,31,$16.0,Alejandro Fernández,102.07,"6,807","156,571","$694,855",20/23,Star Productions S.C.
30,32,$14.8,Pepe Aguilar,99.76,"8,719","148,222","$869,820",15/17,M&M Group
31,33,$14.6,Blake Shelton,93.10,"10,469","157,033","$974,660",15/15,Wasserman Music
32,34,$14.5,Eric Clapton,169.25,"10,682","85,453","$1,807,855",8/8,Creative Artists Agency
33,35,$14.4,Dan + Shay,57.23,"10,509","252,225","$601,434",24/24,Creative Artists Agency
34,36,$14.2,Marc Anthony,117.18,"7,142","121,410","$836,837",17/17,Cardenas Mktg. Network/Magnus Talent Agency
35,37,$13.1,Lady Gaga,295.27,"4,930","44,371","$1,455,707",3/9,Creative Artists Agency
36,38,$13.0,Gabriel Iglesias,61.01,"3,009","213,663","$183,601",41/71,Creative Artists Agency
37,39,$13.0,Usher,220.67,"4,204","58,856","$927,707",5/14,WME
38,40,$12.3,“Knotfest Roadshow” / Slipknot,48.23,"10,644","255,455","$513,395",24/24,Creative Artists Agency
39,41,$11.5,Andrea Bocelli,182.73,"10,531","63,186","$1,924,337",6/6,Klassics Music Management Limited
40,42,$11.5,Machine Gun Kelly,54.21,"6,839","212,020","$370,764",31/31,United Talent Agency
41,43,$11.4,Lauren Daigle,53.94,"8,422","210,562","$454,318",25/25,WME
42,44,$11.0,Omarion,89.08,"6,504","123,577","$579,371",19/19,Omarion Worldwide
43,45,$10.4,Daryl Hall & John Oates,59.59,"10,236","174,010","$609,909",17/17,Artist Group International
44,46,$10.3,Korn,38.49,"9,936","268,268","$382,422",27/27,Creative Artists Agency
45,47,$10.2,Alabama,76.76,"5,791","133,185","$444,477",22/23,Ontourage Management
46,48,$9.9,Jo Koy,62.66,"2,927","158,069","$183,423",40/44,Creative Artists Agency
47,49,$9.6,$uicideboy$,50.24,"5,600","190,402","$281,340",34/34,Wasserman Music
48,50,$9.4,ZZ Top,62.09,"3,223","151,460","$200,089",44/47,Creative Artists Agency
49,51,$9.2,Banda MS,107.15,"6,117","85,633","$655,385",13/14,Uncle Snoop’s Army / Day After Day Prod.
50,52,$8.8,Tame Impala,66.58,"11,042","132,502","$735,161",12/12,Creative Artists Agency
51,53,$8.5,Cody Johnson,47.91,"4,123","177,268","$197,528",36/43,Red 11 Music
52,54,$8.4,Jim Gaffigan,73.24,"3,191","114,887","$233,741",15/36,United Talent Agency
53,55,$7.9,Megadeth / Lamb of God,46.30,"7,140","171,365","$330,571",24/24,Artist Group International
54,56,$7.9,Billy Strings,44.93,"2,939","176,353","$132,064",35/60,Crossover Touring
55,57,$7.7,“In Real Life Comedy Tour” / Mike Epps,92.49,"4,648","83,665","$429,911",11/18,Creative Artists Agency
56,58,$7.5,Shinedown,54.97,"5,475","136,866","$300,967",25/25,WME
57,59,$7.4,The Black Crowes,57.02,"6,862","130,371","$391,251",18/19,Creative Artists Agency
58,60,$7.3,Lil Baby,76.32,"10,644","95,799","$812,379",9/9,Quality Control Music
59,61,$7.2,Kane Brown,70.48,"7,834","101,842","$552,120",13/13,WME
