weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[970],258,[],1990-05-31,1990-06-02,May 31-June 2,phil-collins-nassau-veterans-memorial-coliseum-1990-05-31,1357200,,52500,,,1,[26.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
2,,"[557, 984]",690,[],1990-05-26,1990-05-26,May 26,david-bowie-dodger-stadium-1990-05-26,1117086,,40877,,,,[28.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
3,World Series Of Rock '90,"[4, 726, 316, 953, 980]",734,[],1990-05-26,1990-05-27,May 26-27,world-series-of-rock-90-alpine-valley-east-troy-group-1990-05-26,1033258,,36831,,,,"[32.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
4,,"[179, 966]",939,[],1990-05-23,1990-05-24,May 23-24,madonna-rosemont-horizon-rosemont-il-1990-05-23,955481,,33954,,,1,[30.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
5,,"[105, 706]",569,[],,,,aerosmith-palace-None,866385,,38506,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
6,,[981],204,[],1990-05-29,1990-05-30,May 29-30,don-henley-garden-state-arts-center-1990-05-29,392510,,20006,,,,"[25.25, 17.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
7,,"[105, 706]",736,[],1990-05-24,1990-05-24,May 24,aerosmith-cooper-stadium-1990-05-24,375575,,16800,,,,"[22.5, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
8,,[947],940,[],1990-06-02,1990-06-02,June 2,cher-world-music-theatre-tinley-park-1990-06-02,374750,,16870,,,,"[35.0, 25.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
9,,[557],415,[],1990-05-23,1990-05-23,May 23,david-bowie-los-angeles-sports-arena-1990-05-23,356991,,12756,,,1,[28.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
10,,[55],204,[],,,,julio-iglesias-garden-state-arts-center-None,296749,,9185,,,,"[37.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
11,,"[275, 979]",317,[],1990-05-31,1990-06-01,May 31-June 1,motley-crue-neal-s-blaisdell-center-1990-05-31,290316,,15722,,,,[19.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
12,,"[976, 977]",439,[],1990-05-17,1990-05-20,May 17-20,mel-torme-fox-theatre-1990-05-17,279295,,14991,,,,"[50.0, 37.5, 25.0, 5.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
13,,[55],492,[],1990-05-30,1990-05-30,May 30,julio-iglesias-centrum-in-worcester-worcester-1990-05-30,278589,,8000,,,,"[100.0, 50.0, 28.5, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
14,,"[557, 971]",732,[],1990-06-04,1990-06-04,June 4,david-bowie-starplex-amphitheatre-state-fairgrounds-1990-06-04,276167,,11538,,,,"[26.5, 23.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
15,,"[972, 974]",439,[],1990-05-09,1990-05-02,May 9-10 12,roseanne-barr-fox-theatre-1990-05-09,274320,,12282,,,,"[25.0, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/06/BB-1990-06-16.pdf
