weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[24],969,[],1991-12-18,1991-12-20,Dec 18-20,rod-stewart-palacio-de-los-deportes-palace)-mexican-mexico-city-1991-12-18,1549233,,43823,,,,"[53.0, 33.0, 23.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
2,,[465],970,[],1991-12-11,1991-12-12,Dec 11-12,paul-simon-national-auditorium-1991-12-11,614660,,14663,,,,[],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
3,,[1125],814,[],1991-11-26,1991-11-28,Nov 26-28,juan-luis-guerra-y-440-the-paramount-new-york-david-maldonado-1991-11-26,,,,,,,"[35.0, 30.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
4,,"[1123, 1076]",591,[],1991-12-05,1991-12-06,Dec 5-6,gung-n-roses-centrum-in-worcester-=-1991-12-05,560700,,3035,,,,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
5,,"[1115, 1124, 990, 1120]",598,[],1991-12-15,1991-12-18,Dec 15-18,christmas-in-america-valley-forge-music-fair-1991-12-15,387530,,14660,,,1,[],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
6,,[24],257,[],1991-12-10,1991-12-10,Dec 10,rod-stewart-tacoma-dome-1991-12-10,351550,,12863,,,,"[39.5, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
7,,"[989, 1105, 1099]",120,[],1991-12-14,1991-12-14,Dec 14,garth-brooks-charlotte-coliseum-1991-12-14,345480,,23395,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
8,,[1126],586,[],1991-11-23,1991-11-24,Nov 23-24,wan-luis-guerra-y-440-universal-amphitheatre-1991-11-23,,,,,,,"[31.0, 27.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
9,,[32],816,[],1991-12-12,1991-12-15,Dec 12-15,barry-manilow-symphony-hall-1991-12-12,,,,,,,"[35.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
10,,"[210, 1122, 1121, 1062]",66,[],1991-12-12,1991-12-12,Dec 12,luther-vandross-maple-leaf-gardens-1991-12-12,308490,,9287,,,,"[49.5, 32.5, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/01/Billboard-1992-01-11.pdf
