artists,dates,gross_receipts_us,gross_receipts_canadian,tickets_sold,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['PRINCE', 'SHELIA E.']","['Nov. 4-5,7-9']",2081719.0,,129730.0,,,,['Rainbow Over America'],[],"['Joe Louis Arena', 'Detroit Mz', 'sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['CULTURE CLUB', 'LA BAMBA & THE HUBCAPS']",['Nov. 12'],266075.0,,16590.0,,,,['Monarch Entertainment Bureau'],"['17,50/15.50']","['Byrne Meadowlands Arena', 'East Rutherford, N.J']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['RICK SPRINGFIELD', 'COREY HART']",['15'],232000.0,,16000.0,,,1.0,['Beaver Prods.'],['14.50'],"['Reunion Arena Now.', 'Dallas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['CULTURE CLUB', 'DADS']",['Nov. 11'],216736.0,,13983.0,19114.0,,,['Cellar Door Prods.'],['15.50'],"['Capital Centre', 'Landover, Md,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['RICK SPRINGFILED', 'CORY HART']",['Nov. 18'],210901.0,,1717.0,,,1.0,['Pace Concerts'],['13/11.50'],"['Frank Erwin Center', 'Austin']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['BILL COSBY', 'STANLEY JORDAN']",['Nov. 10-11'],202143.0,,10900.0,,,,['In-House'],['19-12'],"['Riverside Theater', 'Milwaukee', 'sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['CULTURE CLUB', 'NEW JOHNNY FIVE']",['Nov. 13'],178178.0,,10857.0,,,,['Cross Country Concerts'],['16.50/14.50'],"['Hartford (Conn)', 'Civic Center']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
['ROD STEWART'],['Nov. 7'],166762.0,,9558.0,10000.0,,,['Southland Concerts'],['17.50/15'],"['Thomas & Mack Center', 'Las Vegas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['CYNDI LAUPER', 'BANGLES']",['Nov. 12'],166353.0,207942.0,13500.0,,,1.0,['Concert Prods. International'],['16.50/15.50'],"['Maple Leaf Gardens', 'Toronto']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
"['SWATCH WATCH: NEW YORK', 'CITY FRESH FESTIVAL']",['Nov. 9'],145068.0,,13188.0,,,,['CW. & Associates'],[],"['Baltimore Civic Center', 'sil selout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
