artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['METALLICA', 'QUEENSRYCHE', 'FAITH NO MORE', 'SOUNDGARDEN', 'L']",['Oct. 12'],1433529.0,,50271.0,,,1.0,['Bill Graham'],['30/28.50'],"['Oakland-', 'Alameda County', 'Stadium', 'Oakland, Calif,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
['GEORGE MICHAEL'],['Oct. 5-6'],622553.0,,27045.0,,,1.0,['Avalon Attractions'],['40/23.50'],"['Great Western', 'Forum', 'Inglewood, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
['NIC'],['Oct 1415'],,,,,,,"['19,591 Gary Van Egmond']",['41.50'],"['Sydney', 'Entertainment', 'Centre Australian)', 'Sydney']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
['ROD STEWART'],['Oct. 18'],429163.0,,18301.0,,,1.0,['Beaver Prods.'],['35/19.50'],"['Louisiana', 'Superdome,', 'Dome Arena', 'New Orleans']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
['ROO STEWART'],['Oct. 4'],374904.0,,17848.0,,,,"['C&C Entertainment', '18,734']",['25.50/18'],"['Blockbuster', 'Pavilion', 'Charlotte, N.C.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
"['TOM PETTY & THE', 'HEARTBREAKERS.', 'CHRIS WHITLEY']",['Oct. 9'],324912.0,,15187.0,,,1.0,['Metropolitan'],['22.50/20'],"['Meadowlands', 'Arena', 'East Rutherford,', 'Nd.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
"['THE JUD0S', 'BALY DEAN', 'PIRATES OF THE', 'MISSISSIPPI']",['Oct. 13'],305538.0,,13772.0,,,,"['Pro Tours.', '14,303']","['24.50/21.50/', '19.50']","['Target Center', 'Minneapolis']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
"['YAN HALEN', 'ALICE IW CHAINS']",['Oct. 9'],267438.0,,12515.0,,,1.0,['Don Law Co.'],['27.50/19.50'],"['Providence Civic', 'Center', 'Providence, R.I.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
['(GEORGE MICHAEL'],"['Oct, 19']",256648.0,,10054.0,,,,"['Jam Prods.', '14,417']",['35/25/12.50'],"['Rosemont', 'Horizon', 'Rosemont, lil.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
"['WACHAEL BOLTON', 'OLETA ADAMS,']",['Oct. 11'],226124.0,,14705.0,,,,"['Evening Star', '18,000 Prods.']",['23/18'],"['Blockbuster', 'Desert Sky', 'Pavilion', 'Phoenix']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-02.pdf
