artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['GEORGE STRAIT', 'PRCA RODEO']","['Feb, 25-26']",1192868.0,,116491.0,,2.0,,['Houston Livestock'],['12/10/5'],"['Astrodome', 'Houston', 'Rodeo', 'sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
['WETALLICA'],['Feb. 12-13'],860369.0,,32098.0,,,,['Avalon Attractions'],['22.50'],"['Great Western', 'Forum', 'Calif seltouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
"['WANCE GILL/STEVE WARINER |', 'PRCA RODEO']",['Feb. 28'],577290.0,,56376.0,,,1.0,['Houston Livestock'],['12/10/85'],"['Astrodome', 'Houston', '& Rodeo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
"['RICKY VAN SHELTON |', 'THE GATLIN BROTHERS,', 'PRCA RODEO /']",['Feb. 29'],,,,,,1.0,['53517 Houston Livestock'],['12/10/5'],"['Astrodome', 'Houston (Night)', '& Rodeo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
"['HANK WILLIAMS JR.', 'MARK CHESNUTT']",['March 1'],543728.0,,,,,1.0,['Houston Livestock'],['12/10/5'],"['Astrodome', 'Houston', '& Rodeo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
"['PATTI LABELLE,', 'COLOR ME BADD', 'PRCA RODEO']",['Feb. 29'],515871.0,,50378.0,,,1.0,['Houston Livestock'],['12/10/5'],"['Astrodome', 'Houston', '& Rodeo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
"['ALAN JACKSON', 'PRCA RODEO']",['Feb. 27'],513075.0,,50105.0,,57311.0,,['Houston Livestock'],['12/510/5'],"['Astrodome', 'Houston', 'Rodeo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
['JOHN MELLENCAMP'],"['Feb. 18', '20']",,,,,,,['Ba Avalon Attractions'],['23.50'],"['Great Western', 'Forum', 'Calif sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
['DIRE STRAITS.'],['Feb.26'],,,,,,1.0,"['16,000 Ron Delsener']",['35/25'],"['Madison Square', 'Garden', 'New York']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
"['MICHAEL BOLTON', 'FRANCESCA BEGHE']","['Feb.21', '335/826 14301']",,,,,,,"['11,256 Bill Silva Presents']",[],"['San Diego', 'Sports Arena', 'San Diego']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
