entity_id,segment_id,year,quarter,metric_id,sub_metric_id,value,currency,org_currency,conversion_rate,decimal_conversion,scope,source_extracted_id,source_type,source_original_id,data_quality,source_uri,notes
ticketron,total,1981,,gross_ receipts,,100000000,usd,,,1.00E+06,,billboard,magazine,,,BB-1994-07-09,
ticketron,total,1981,,service_fee,min,0.75,usd,,,,,billboard,magazine,,,BB-1994-07-10,
ticketron,total,1981,,service_fee,max,1,usd,,,,,billboard,magazine,,,BB-1994-07-11,
ticketmaster,total,1981,,gross_receipts,,1000000,usd,,,1.00E+06,,billboard,magazine,,,BB-1994-07-09,
rainbow_tm,total,1982,,tickets_sold,min,1538461,,,,,,billboard,magazine,,,BB-1984-01-25,
rainbow_tm,total,1982,,tickets_sold,max,1666666,,,,,,billboard,magazine,,,BB-1984-01-26,
rainbow_tm,total,1982,,tickets_sold,mid,1600000,,,,,,billboard,magazine,,,BB-1984-01-27,
ticketmaster,total,1982,,num_cities_operating,,22,,,,,,billboard,magazine,,,BB-1982-11-27,
rainbow_tm,total,1983,,tickets_sold,,2000000,,,,1.00E+06,,billboard,magazine,,,BB-1984-01-28,
rainbow_tm,total,1984,,tickets_sold,,3500000,,,,,,billboard,magazine,,,,
rainbow_tm,total,1984,,tickets_sold,,2500000,,,,,rainbow_dallas,billboard,magazine,,,BB-1985-07-20,
cbs_records_group,total,1982,,net_income,,22000000,usd,,,,,billboard,magazine,,,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1987/12/Billboard-1987-12-05.pdf,
cbs_records_group,total,1985,,revenue,,1230000000,usd,,,,,billboard,magazine,,calculation,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1987/11/Billboard-1987-11-28.pdf,
cbs_records_group,total,1986,,revenue,,1490000000,usd,,,,,billboard,magazine,,unofficial,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1987/11/Billboard-1987-11-28.pdf,
cbs_records_group,total,1986,,operating_income,,162500000,usd,,,,,billboard,magazine,,unofficial,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1987/11/Billboard-1987-11-28.pdf,
cbs_sony_records,total,1986,,revenue,,600000000,usd,,,,,billboard,magazine,,unofficial,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1987/11/Billboard-1987-11-28.pdf,
sony_music_entertainment,total,1992,Q2,revenue,,850000000,usd,,,,,billboard,magazine,,calculation,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1993/12/BB-1993-12-18-N.pdf,
sony_music_entertainment,total,1993,Q2,revenue,,1100000000,usd,,,,,billboard,magazine,,unofficial,s3://music-industry-data-lake/raw/billboard/pdf/magazines/1993/12/BB-1993-12-18-N.pdf,
select_a_seat,total,1987,,gross_receipts,,28000000,usd,,,1.00E+06,,billboard,magazine,,,BB-1995-07-22,
ticketron,total,1989,,revenue,,41000000,usd,,,1.00E+06,worldwide,billboard,magazine,,,BB-1991-03-09,
ticketron,total,1989,,gross_receipts,,450000000,usd,,,1.00E+06,worldwide,billboard,magazine,,,BB-1991-03-09,
ticketmaster,total,1990,,tickets_sold,,40000000,,,,1.00E+06,worldwide,billboard,magazine,,,BB-1991-07-06,
ticketmaster,total,1991,,gross_receipts,,600000000,usd,,,1.00E+06,worldwide,billboard,magazine,,,BB-1991-03-09,
ticketmaster,total,1991,,num_operators,,13000,,,,,worldwide,billboard,magazine,,,BB-1991-07-06,
ticketmaster,total,1991,,pre_tax_profit_margin,,0.01,,,,,worldwide,billboard,magazine,fred_rosen,,Billboard-1992-06-28,
ticketmaster,total,1992,,revenue,,130000000,usd,,,,worldwide,billboard,magazine,,,Billboard-1992-06-27,
ticketmaster,total,1992,,service_fee,avg,3,usd,,,,southern_california,billboard,magazine,fred_rosen,,Billboard-1992-06-27,
ticketmaster,total,1992,,pre_tax_profit_margin,,0.02,,,,,worldwide,billboard,magazine,fred_rosen,,Billboard-1992-06-28,
ticketmaster,total,1992,,service_fee_percent,,0.29,,,,,new_york_city,billboard,magazine,,,Billboard-1992-08-08-N,phone 2 tickets
