entity_id,segment_id,official_segment_name,official_segment_description,year,quarter,revenue,net_income,operating_income,currency,org_currency,conversion_rate,decimal_conversion,source_extracted_id,source_type,source_original_id,notes,source_uri
apple,other_music_products_services,Other Music Products (d),"Other Music Products consists of iTunes Music Store sales, iPod-related services, and Apple-branded and third-party iPod-related accessories.",2004,,278000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,service_other_sales,Service and other sales,,2004,,319000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software,Software (f),,2004,,502000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (d),"Consists of iTunes Music Store sales, iPod services, and Apple-branded and third-party iPod accessories.",2005,,899000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software_service_other,"Software, service, and other sales (f)","Includes sales of Apple-branded operating system, application software, third-party software, AppleCare, and Internet services.",2005,,1091000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (d),"Consists of iTunes Store sales, iPod services, and Apple-branded and third-party iPod accessories.",2006,,1885000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software_service_other,"Software, service, and other sales (f)","Includes sales of Apple-branded operating system, application software, third-party software, AppleCare, and Internet services.",2006,,1279000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (e),"Consists of iTunes Store sales, iPod services, and Apple-branded and third-party iPod accessories.",2007,,2496000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software_service_other,"Software, service, and other sales (h)","Includes sales of Apple-branded operating system, application software, third-party software, AppleCare, and Internet services.",2007,,1508000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (d),"Consists of iTunes Store sales, iPod services, and Apple-branded and third-party iPod accessories.",2008,,3340000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software_service_other,"Software, service, and other sales (g)","Includes sales of Apple-branded operating system and application software, third-party software, AppleCare, and Internet services.",2008,,2207000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (d),"Consists of iTunes Store sales, iPod services, and Apple-branded and third-party iPod accessories.",2009,,4036000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software_service_other,"Software, service and other sales (g)","Includes sales of Apple-branded operating system and application software, third-party software, AppleCare and Internet services.",2009,,2406000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (d),"Includes iTunes Store sales, iPod services, and Apple-branded and third-party iPod accessories",2010,,4948000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,software_service_other,"Software, service and other sales (g)","Includes sales of Apple-branded operating system and application software, third-party software, Mac and Internet services.",2010,,2573000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
apple,other_music_products_services,Other music related products and services (c),"Includes sales from the iTunes Store, App Store, and iBookstore in addition to sales of iPod services and Apple-branded and third-party iPod accessories.",2011,,6314000000,,,usd,usd,,1.00E+06,sec_edgar,Form 10-K,apple,,
