id,signature,weekly_rank,venue_id,event_name,start_date,end_date,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,special_event_id,schema_id,source_id,s3_uri
24687,aerosmith-ohio-center-1985-01-18,18,129,,1985-01-18,1985-01-18,Jan 18,87862,,7218,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
24716,george-strait-expo-center-1988-02-06,33,464,,1988-02-06,1988-02-06,Feb 6,114030,,7602,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/02/BB-1988-02-20.pdf
24726,huey-lewis-the-news-coliseum-1987-02-19,28,401,,1987-02-19,1987-02-19,Feb 19,141528,,10200,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
24733,julio-iglesias-arco-arena-1991-05-19,19,685,,1991-05-19,1991-05-19,May 19,159755,,7785,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
24706,def-leppard-mississippi-coast-coliseum-1988-09-10,19,590,,1988-09-10,1988-09-10,Sept 10,246890,,15191,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/10/BB-1988-10-08.pdf
24723,hank-williams-jr-richmond-coliseum-1987-02-13,37,219,,1987-02-13,1987-02-13,Feb 13,121065,,8358,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
24724,hank-williams-jr-the-summit-houston-1989-09-23,12,273,,1989-09-23,1989-09-23,Sept 23,189311,,10708,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/10/BB-1989-10-14.pdf
24735,kenny-g-fox-theatre-1989-03-24,7,362,,1989-03-24,1989-03-24,March 24,155299,,8598,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
24743,muey-lewis-the-news-lake-compounce-festival-park-1988-09-05,11,568,,1988-09-05,1988-09-05,Sept 5,351186,,19053,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/10/BB-1988-10-01.pdf
24770,world-party-after-the-goldrush-tempe-None,40,467,,,,,4076,,364,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
24688,aeuroeaeuroethe-simple-truth-a-concert-for-kurdish-refugees-wembley-arena-1991-05-12,6,943,'Â€Œâ€Œthe Simple Truth'—A Concert For Kurdish Refugees,1991-05-12,1991-05-12,May 12,295493,,11500,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
24690,alabama-jacksonville-coliseum-1985-02-22,21,156,,1985-02-22,1985-02-22,Feb 22,135720,,9088,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
24703,bruce-springsteen-pontiac-sverdome-1985-09-04,1,256,,1985-09-04,1985-09-04,Sept 4,1222270,,69944,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/09/BB-1985-09-21.pdf
24714,genesis-the-forum-inglewood-1986-10-13,1,36,,1986-10-13,1986-10-17,Oct 13-17,1440421,,85739,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/11/BB-1986-11-01.pdf
24746,pat-benatar-recreation-hall-1986-01-30,30,284,,1986-01-30,1986-01-30,Jan 30,84113,,5877,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/02/BB-1986-02-15.pdf
24749,phil-collins-his-hot-tub-reunion-arena-1985-05-29,1,3,,1985-05-29,1985-05-30,May 29-30,451200,,30924,,,2,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
24750,randy-travis-grandstand-california-state-fair-1989-08-12,16,679,,1989-08-12,1989-08-12,Aug 12,236487,,18414,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-26.pdf
24698,billy-joel-riverfront-coliseum-1987-02-10,11,392,,1987-02-10,1987-02-10,Feb 10,233537,,13698,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
24701,bon-jovi-bayfront-center-1987-02-15,35,377,,1987-02-15,1987-02-15,Feb 15,129000,,8600,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
24702,bon-jovi-kiefer-uno-lakefront-arena-1989-07-23,23,668,,1989-07-23,1989-07-23,July 23,193362,,10601,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
24704,dan-fogelberg-tanglewood-lenox-1985-06-21,10,852,,1985-06-21,1985-06-21,June 21,119334,,10150,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-06.pdf
24725,howie-mandel-fox-theatre-1987-03-28,31,439,,1987-03-28,1987-03-28,March 28,78870,,4780,,,1,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
24767,wetallica-pacific-coliseum-1989-05-31,9,639,,1989-05-31,1989-05-31,May 31,245695,,12150,,,,,bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-01.pdf
