event_signature,issue_date,field,original_value,true_value,correction_reason
thompson-twins-fair-grandstand-1984-09-30,10/20/1984,gross_receipts_us,,144214,
thompson-twins-fair-grandstand-1984-09-30,10/20/1984,attendance,,10894,
diana-ross-war-memorial-1984-10-03,10/20/1984,attendance,,8248,
rod-stewart-the-omni-atlanta-ring-promotions-1984-09-28,10/20/1984,location,"['The Omni', 'Atlanta', 'Ring Promotions']","['The Omni', 'Atlanta']",
alabama-the-centriplex-baton-rouge-spint-1984-09-29,10/20/1984,location,"['The Centriplex', 'Baton Rouge', 'Spint']","['The Centriplex', 'Baton Rouge']",
alabama-humphrey-coliseum-1984-10-04,10/20/1984,location,"['Humphrey Coliseum', 'Starkville, Miss.', 'Spirit']","['Humphrey Coliseum', 'Starkville, Miss.']",
alabama-civic-center-1984-09-28,10/20/1984,location,"['Civic Center', 'Beaumont, Tex.', 'Spirit']","['Civic Center', 'Beaumont, Tex.']",
alabama-pine-blutf-area-spirit-1984-09-30,10/20/1984,location,"['Pine Blutf Area', 'Arkansas', 'Spirit']","['Pine Bluff Area', 'Arkansas']",
doug-henning-fox-theater-1984-10-16,11/3/1984,attendance,,34224,
patti-labelle-lyric-opera-house-1984-10-09,11/3/1984,ticket_prices,['20/17'],['20/17/15'],
barry-manilow-crister-arena-1984-10-19,11/3/1984,location,"['Crister Arena', 'Ann Arbor, Mich.']","['Crisler Arena', 'Ann Arbor, Mich.']",
rick-springfield-nbc-arena-honolulu-1984-10-12,11/3/1984,artists,['RICK SPRINGFIELD NBC'],['RICK SPRINGFIELD'],
rick-springfield-nbc-arena-honolulu-1984-10-12,11/3/1984,location,"['Arena', 'Honolulu']","['NBC Arena', 'Honolulu']",
alabama-convention-center-1984-10-12,11/3/1984,location,['Convention Center'],"['Convention Center', 'San Antonio']",
rod-stewart-hollywood-(fta.)-sportatorium-1984-10-07,11/3/1984,ticket_prices,['4'],['14'],
lionel-richie-bsu-pavilion-1984-10-10,11/3/1984,location,"['Pavilion', 'Boise, Idaho']","['BSU Pavilion', 'Boise, Idaho']",
lionel-richie-bsu-pavilion-1984-10-10,11/3/1984,artists,['LIONEL RICHIE BSU'],['LIONEL RICHIE'],
sammy-hagar-market-square-arena-1984-10-17,11/3/1984,attendance,,13151,
billy-squier-barton-coliseum-1984-10-16,11/3/1984,ticket_prices,['2'],['12'],
david-copperfield-royal-oak-(mich.)-music-theater-1984-10-19,11/3/1984,ticket_prices,[],['15'],
"alabama-g.-rollie-white-coliseum,-college-1984-10-21",11/3/1984,artists,['ALABAMA G.'],['ALABAMA'],
"alabama-g.-rollie-white-coliseum,-college-1984-10-21",11/3/1984,location,"['Rollie White Coliseum,', 'College Station, Tex.', 'Promotions']","['G. Rollie White Coliseum,', 'College Station, Tex.', 'Promotions']",
