id,name,slug
1,Belkin Prods.,belkin-prods,
2,Mid-South Concerts,mid-south-concerts,
3,Avalon Attractions.,avalon-attractions,
4,Avalon,avalon,
5,Bill Graham Presents,bill-graham-presents,
6,Concert Prods.,concert-prods,
7,~ Ray Shepardson,ray-shepardson,
8,That’s,thats,
9,"Jerry Bentley Prods,",jerry-bentley-prods,
10,Salem Concerts,salem-concerts,
11,Brass Ring Prods.,brass-ring-prods,
12,Avalon Attractions,avalon-attractions,
13,Satem Concerts,satem-concerts,
14,Feyline Presents,feyline-presents,
15,Rock N’ Chair Prods.,rock-n-chair-prods,
16,Electric Factory,electric-factory,
17,Mare Corwin,mare-corwin,
18,Blue Suede Shows.,blue-suede-shows,
19,Jam Prods.,jam-prods,
20,Sunshine Promotions,sunshine-promotions,
21,Fowler Promotions,fowler-promotions,
22,United Concerts.,united-concerts,
23,Keith Fowler,keith-fowler,
24,Alan Carr,alan-carr,
25,Mederlander,mederlander,
26,Keith,keith,
27,Jack Roberts Prods.,jack-roberts-prods,
28,Fantasma Prods.,fantasma-prods,
29,Feyline,feyline,
30,Ray Shepardson Presents,ray-shepardson-presents,
31,United,united,
32,Radio City Musi¢ Hall,radio-city-music-hall,
33,Mid-South Concerts,mid-south-concerts,
34,AH. Enterprises,ah-enterprises,
35,Avalon,avalon,
36,John Scher Presents,john-scher-presents,
37,Bill Graham Presents,bill-graham-presents,
38,Monarch Entertainment Bureau,monarch-entertainment-bureau,
39,Spectrum Prods.,spectrum-prods,
40,Frank J. Russo,frank-j-russo,
41,John& Associatesfor Pertorming Arts,john-associatesfor-pertorming-arts,
42,Buster Bonoff,buster-bonoff,
43,Stone City Attractions,stone-city-attractions,
44,Contemporary Prods.,contemporary-prods,
45,Avalon Attractions,avalon-attractions,
46,Feyline Presents,feyline-presents,
47,"North American Tours Inc,",north-american-tours-inc,
48,North American Tours Inc.,north-american-tours-inc,
49,Jam Prods.,jam-prods,
50,> Sunshine Promotions,sunshine-promotions,
51,Electric Factory Concerts,electric-factory-concerts,
52,Sunshine Promotions,sunshine-promotions,
53,Holiday Star Theatre,holiday-star-theatre,
54,North Amesican Tours Inc.,north-amesican-tours-inc,
55,John Scher Presents.,john-scher-presents,
56,Pace Concerts,pace-concerts,
57,Johin Scher Presents,johin-scher-presents,
58,Fantasma Prods.,fantasma-prods,
59,Churchill Prods.,churchill-prods,
60,Schon Prods,schon-prods,
61,Embassy Performing Arts Ine.,embassy-performing-arts-ine,
62,Makoul Prods.,makoul-prods,
63,Evening Star Prods,evening-star-prods,
64,DiCesare-Engler Prods.,dicesare-engler-prods,
65,Prods.,prods,
66,Evening Star Prods.,evening-star-prods,
67,Monarch Entertainment Bureau,monarch-entertainment-bureau,
68,Cellar Door Prods.,cellar-door-prods,
69,Riverside Theater,riverside-theater,
70,Student Campus Entertainment,student-campus-entertainment,
71,Jack Roberts,jack-roberts,
72,KSOP Radio,ksop-radio,
73,"C&M Prods,",c-m-prods,
74,Cellar Door Promotions,cellar-door-promotions,
75,Jam Prods,jam-prods,
76,Don Law Co.,don-law-co,
77,Don Law Co,don-law-co,
78,Jam Prods.,jam-prods,
79,Southland Concerts,southland-concerts,
80,Mekoul Prods.,mekoul-prods,
81,Fahn & Silva Presents,fahn-silva-presents,
82,Fantasia Prods.,fantasia-prods,
83,Rainbow Over America,rainbow-over-america,
84,Sunshine Promotions,sunshine-promotions,
85,Cross Country Concerts,cross-country-concerts,
86,Concert Prods. International,concert-prods-international,
87,Pace Concerts,pace-concerts,
88,CW. & Associates,cw-associates,
89,Henry Hilton,henry-hilton,
90,Beaver Prods.,beaver-prods,
91,North American Tours,north-american-tours,
92,Evening Star Prods,evening-star-prods,
93,Ray Shepardson,ray-shepardson,
94,Evening Star Prods.,evening-star-prods,
95,First Class Promotions,first-class-promotions,
96,Bill Graham Presents,bill-graham-presents,
97,Sunshine Promotions.,sunshine-promotions,
98,Frank J. Russo,frank-j-russo,
99,Contemporary Prods.,contemporary-prods,
100,Brass Ring Prods.,brass-ring-prods,
101,Avalon Attractions,avalon-attractions,
102,Concerts West,concerts-west,
103,North American Tours Inc.,north-american-tours-inc,
104,Universal Amphitheater,universal-amphitheater,
105,Front Row Theater,front-row-theater,
106,two sellouts,two-sellouts,
107,North American Tours Inc,north-american-tours-inc,
108,Southland Concerts,southland-concerts,
109,Rainbow Over America,rainbow-over-america,
110,Sunshine Promotions,sunshine-promotions,
111,Holiday Star Theatre,holiday-star-theatre,
112,Concerts,concerts,
113,Cross Country Concerts,cross-country-concerts,
114,Don Law,don-law,
115,Brass Ring Prods,brass-ring-prods,
116,Avalon Altractions,avalon-altractions,
117,Beaver Prods,beaver-prods,
118,Beaver Prods.,beaver-prods,
119,Roseland Ballroom,roseland-ballroom,
120,Donald K. Donald Concert Canadian) International,donald-k-donald-concert-canadian-international,
121,Executive Inn,executive-inn,
122,Concert Prods. Canadian) sellout,concert-prods-canadian-sellout,
123,Carlton West Green Bay,carlton-west-green-bay,
124,The Ritz New York,the-ritz-new-york,
125,Son Prods.,son-prods,
126,Stardate Prods.,stardate-prods,
127,Belkin,belkin,
128,Tours Inc.,tours-inc,
129,Concert Showcase of Florida,concert-showcase-of-florida,
130,Keith Fowler Promotions,keith-fowler-promotions,
131,Nelson Prods.,nelson-prods,
132,Artists Consultants Prods.,artists-consultants-prods,
133,Monarch Entertainment,monarch-entertainment,
134,Harvey & Corky Concert Prods.International Donald K. Donald,harvey-corky-concert-prods-international-donald-k-donald,
135,Keith Fowler Promotions:,keith-fowler-promotions,
136,Tibor Rudas Theatrical,tibor-rudas-theatrical,
137,JMA Entertainment,jma-entertainment,
138,WAQX-FM,waqx-fm,
139,three sellouts,three-sellouts,
140,LB Presentations,lb-presentations,
141,JMA EntertainmentSI,jma-entertainmentsi,
142,Southern Promotions,southern-promotions,
143,Leonard Rowe,leonard-rowe,
144,Beach Club Concerts,beach-club-concerts,
145,Fantasma,fantasma,
146,Jolin Scher Presents,jolin-scher-presents,
147,Bill Graham,bill-graham,
148,Concerts of America,concerts-of-america,
149,Silver Star Prods.,silver-star-prods,
150,In Clover,in-clover,
151,Concert Promotions,concert-promotions,
152,sellout,sellout,
153,Keith Fowler Promotions,keith-fowler-promotions,
154,Ray,ray,
155,Alex Cooley,alex-cooley,
156,Dimensions Unlimited,dimensions-unlimited,
157,Cross Country,cross-country,
158,Al Haymon,al-haymon,
159,Pro Motion Concerts,pro-motion-concerts,
160,Concert Prads. International,concert-prads-international,
161,Donald,donald,
162,Maxxima Prods.,maxxima-prods,
163,Frank J.,frank-j,
164,Ron Delsener,ron-delsener,
165,Nederlander,nederlander,
166,Larry,larry,
167,The Concert Co.,the-concert-co,
168,Bill Graham,bill-graham,
169,Sunshine,sunshine,
170,Brass Ring,brass-ring,
171,BGP,bgp,
172,WNEW-FM,wnew-fm,
173,"St.', 'Pauli Girl Concert Series]",st-pauli-girl-concert-series,
174,St. Pauli Girl Concert,st-pauli-girl-concert,
175,Beach Club,beach-club,
176,Larry Vaughn,larry-vaughn,
177,Alex Cooley,alex-cooley,
178,Alex Cooley Prods.,alex-cooley-prods,
179,Crass Country,crass-country,
180,Cross Country,cross-country,
181,MTV,mtv,
182,Stage Right,stage-right,
183,Elks,elks,
184,Stephen Star,stephen-star,
185,Mark Johnson,mark-johnson,
186,Barry,barry,
187,Evening Star,evening-star,
188,City of Atlanta,city-of-atlanta,
189,Nederlander,nederlander,
190,Vernon Valley Action Park,vernon-valley-action-park,
191,Chesapeake,chesapeake,
192,Fantasma,fantasma,
193,Cellar Door,cellar-door,
194,Universal City Amphitheater,universal-city-amphitheater,
195,The Concert Co.,the-concert-co,
196,Sunshine,sunshine,
197,Brass Ring,brass-ring,
198,Petratied,petratied,
199,Concert Promotions,concert-promotions,
200,Southern,southern,
201,Harvest,harvest,
202,Mid-South,mid-south,
203,Radio City Music Hall Productions,radio-city-music-hall-productions,
204,Festival,festival,
205,Alex Cooley,alex-cooley,
206,Petrafied,petrafied,
207,FAQ Productions Artists,faq-productions-artists,
208,Elks,elks,
209,Fox,fox,
210,Evening Star,evening-star,
211,Frank J.,frank-j,
212,Southern Promotions,southern-promotions,
213,Alpine Valley Music Theater,alpine-valley-music-theater,
214,New,new,
215,Bill Graham,bill-graham,
216,Contemporary Presentations,contemporary-presentations,
217,Sunshine,sunshine,
218,New West,new-west,
219,Alex Cooley,alex-cooley,
220,Dimensions Unlimited,dimensions-unlimited,
221,Chesapeake Concerts,chesapeake-concerts,
222,Southern,southern,
223,Dale Morris & Associates,dale-morris-associates,
224,Contemporary,contemporary,
225,Nederlander,nederlander,
226,Bob Geldof,bob-geldof,
227,Hank LaConte,hank-laconte,
228,Bill Graham,bill-graham,
229,Pace,pace,
230,Sunshine,sunshine,
231,Avaton Attractions,avaton-attractions,
232,Monarch Entertainment,monarch-entertainment,
233,Gulf Artists Prods.,gulf-artists-prods,
234,Alex Cooley Prods.,alex-cooley-prods,
235,Chris,chris,
236,Contemporary,contemporary,
237,John Bauer Concerts,john-bauer-concerts,
238,Glenn,glenn,
239,Sound Seventy,sound-seventy,
240,Concord Pavilion,concord-pavilion,
241,Busch Gadens Williamsburg,busch-gadens-williamsburg,
242,Minnesota State Fair,minnesota-state-fair,
243,American Concerts Inc.,american-concerts-inc,
244,North Amecican Tours Inc.,north-amecican-tours-inc,
245,Glenn Donnelly,glenn-donnelly,
246,New York State Fair,new-york-state-fair,
247,Nederlander Organization,nederlander-organization,
248,Schon,schon,
249,Concert,concert,
250,Promotions,promotions,
251,Evening Star,evening-star,
252,Kaleidoscope Prods.,kaleidoscope-prods,
253,North American,north-american,
254,Tibor Rudas,tibor-rudas,
255,Bill Graham,bill-graham,
256,Concert Promotions,concert-promotions,
257,Maxima,maxima,
258,Keith Fowler Promotions,keith-fowler-promotions,
259,Bill Graham sellout,bill-graham-sellout,
260,Mid-South,mid-south,
261,Perryscope,perryscope,
262,New Era Prods.,new-era-prods,
263,Live Prods.,live-prods,
264,"Sound Seventy Prods,",sound-seventy-prods,
265,Schon,schon,
266,Stone City,stone-city,
267,Monarch Entertainment John Scher Presents,monarch-entertainment-john-scher-presents,
268,Shepardson,shepardson,
269,Monarch John Scher Presents,monarch-john-scher-presents,
270,New England,new-england,
271,Feyiine Presents,feyiine-presents,
272,"Eric Chandler,",eric-chandler,
273,Jam,jam,
274,Nederlander,nederlander,
275,Concord Pavilion,concord-pavilion,
276,Oon Law,oon-law,
277,Cellar Door,cellar-door,
278,Donald K.,donald-k,
279,Bill Graham,bill-graham,
280,Warwick Music Theater,warwick-music-theater,
281,Chicago Theater Prods.,chicago-theater-prods,
282,Sunshine,sunshine,
283,New Mexico State Fair,new-mexico-state-fair,
284,Media One,media-one,
285,Nederlander Organization,nederlander-organization,
286,Eric Ltd.,eric-ltd,
287,Al Haymon,al-haymon,
288,Monarch Entertainment John Scher Presents,monarch-entertainment-john-scher-presents,
289,Jam,jam,
290,North American,north-american,
291,Nederlander,nederlander,
292,Pate & Biue Live Entertainment,pate-biue-live-entertainment,
293,Jam Company,jam-company,
294,Concerts Prods.,concerts-prods,
295,North American Monarch Entertainment Bureau,north-american-monarch-entertainment-bureau,
296,North American Magic City Prods.,north-american-magic-city-prods,
297,Alex Southern Promotions,alex-southern-promotions,
298,Tom Moffatt Prods.,tom-moffatt-prods,
299,In The Country Calhoun Calhoun,in-the-country-calhoun-calhoun,
300,Chicago Jam Concerts,chicago-jam-concerts,
301,Perryscope Concerts,perryscope-concerts,
302,Pate & Blue Live Entertainment,pate-blue-live-entertainment,
303,Concert Prods. Donald K. Donald Prods.,concert-prods-donald-k-donald-prods,
304,H.G.M. Barry Singer,h-g-m-barry-singer,
305,North American Donatd K. Donald,north-american-donatd-k-donald,
306,Creative Concerts,creative-concerts,
307,Silver Star,silver-star,
308,Northeast Concerts,northeast-concerts,
309,Music Futures Presents,music-futures-presents,
310,Michael Campbell Prods.,michael-campbell-prods,
311,West Central Prods.,west-central-prods,
312,Third Coast Prods.,third-coast-prods,
313,GW. Concerts Prods.,gw-concerts-prods,
