id,name,slug,city_id,state_id
1,Radio City Music Hall,radio-city-music-hall,1,
2,Carnegie Hall,carnegie-hall,1,
3,Civic Auditorium,civic-auditorium,67,
4,Mississippi Coliseum,mississippi-coliseum,100,
5,Reunion Arena,reunion-arena,9,
6,Memorial Auditorium,memorial-auditorium,80,
7,The Omni,the-omni,36,
8,Charlotte Coliseum,charlotte-coliseum,15,33
9,Hirsch Memorial Coliseum,hirsch-memorial-coliseum,102,
19,Fair Grandstand,fair-grandstand,103,5
20,Memorial Coliseum,memorial-coliseum,10,
21,The Centriplex,the-centriplex,109,
22,Municipal Auditorium,municipal-auditorium,104,
23,War Memorial,war-memorial,105,
24,War Memorial,war-memorial,106,32
25,Humphrey Coliseum,humphrey-coliseum,107,21
26,War Memorial,war-memorial,106,
27,Charlotte Coliseum,charlotte-coliseum,15,33
28,Greensboro Coliseum,greensboro-coliseum,68,33
29,Pine Bluff Area,pine-bluff-area,110,4
30,Civic Arena,civic-arena,67,
31,Lakeland Civic Center,lakeland-civic-center,111,9
32,Dayton Arena,dayton-arena,112,35
33,Ohio Center,ohio-center,14,
34,Civic Center,civic-center,108,43
35,Reunion Arena,reunion-arena,9,43
36,Oakland Coliseum,oakland-coliseum,44,5
37,Fox Theater,fox-theater,75,
38,The Forum,the-forum,122,5
39,Lyric Opera House,lyric-opera-house,29,
40,Frank Erwin Center,frank-erwin-center,11,
41,Concord Pavilion,concord-pavilion,121,5
42,Wings Stadium,wings-stadium,118,22
43,Crisler Arena,crisler-arena,113,22
44,Convention Center,convention-center,7,
45,Hollywood Sportatorium,hollywood-sportatorium,120,9
46,BSU Pavilion,bsu-pavilion,94,12
47,Market Square Arena,market-square-arena,16,
48,Irvine Meadows Amphitheatre,irvine-meadows-amphitheatre,114,5
49,Centennial Hall,centennial-hall,84,
50,Spectrum Theater,spectrum-theater,6,
51,Barton Coliseum,barton-coliseum,117,
52,NBC Arena,nbc-arena,54,
53,Mid-South Coliseum,mid-south-coliseum,28,
54,Royal Oak Music Theater,royal-oak-music-theater,126,22
55,Von Braun Civic Center,von-braun-civic-center,99,1
56,Stephen F. Austin College,stephen-f-austin-college,123,43
57,Cal Expo Amphitheatre,cal-expo-amphitheatre,34,
58,Greek Theatre,greek-theatre,115,5
59,G. Rollie White Coliseum,g-rollie-white-coliseum,125,43
60,McNichols Sports Arena,mcnichols-sports-arena,19,
61,San Francisco Civic Auditorium,san-francisco-civic-auditorium,17,
62,Irvine Meadows Amphitheatre,Irvine-meadows-amphitheatre,114,5
63,Lawlor Events Center,lawlor-events-center,79,
64,Massey Hall,massey-hall,119,
65,Frank Crainer Arena,frank-crainer-arena,116,62
66,Byrne Meadowlands Arena,byrne-meadowlands-arena,129,30
67,Carrier Dome,carrier-dome,105,
68,The Spectrum,the-spectrum,6,
69,Hartford Civic Center,hartford-civic-center,132,7
70,Capital Centre,capital-centre,127,20
71,Univ. of Dayton Arena,univ-of-dayton-arena,112,35
72,Byrne Meadowlands Arena,byrne-meadowlands-arena,129,30
73,San Diego Sports Arena,san-diego-sports-arena,8,5
74,Hilton Coliseum,hilton-coliseum,133,
75,Athletic & Convocation Center,athletic-convocation-center,128,14
76,Memorial,memorial,12,14
77,Rupp Arena,rupp-arena,58,17
78,Middle Tennessee State Univ. Murphy Center,middle-tennessee-state-univ-murphy-center,134,
79,Providence Civic Center,providence-civic-center,140,39
80,Salt Palace,salt-palace,135,
81,Fort Wayne Coliseum,fort-wayne-coliseum,82,14
82,San Antonio Convention Center,san-antonio-convention-center,7,43
83,Joe Louis Arena,joe-louis-arena,26,
84,Riverside Theater,riverside-theater,30,
85,Thomas & Mack Center,thomas-mack-center,24,
86,Maple Leaf Gardens,maple-leaf-gardens,119,
87,Baltimore Civic Center,baltimore-civic-center,29,
88,Tatlahassee-Leon County Civic Center,tatlahassee-leon-county-civic-center,,9
89,Omaha Civic Auditorium,omaha-civic-auditorium,39,
90,Tulsa Assembly Center,tulsa-assembly-center,47,
91,Ector Country Coliseum,ector-country-coliseum,143,43
92,Amarillo Civic Center,amarillo-civic-center,,43
93,Jacksonville Civic Auditorium,jacksonville-civic-auditorium,10,9
94,Boise State Univ Pavilion,boise-state-univ-pavilion,94,
95,Activity Center Arizona State Univ,activity-center-arizona-state-univ,,
96,Univ of Tennessee at Chattanooga Arena,univ-of-tennessee-at-chattanooga-arena,,
97,Winmpeg Arena,winmpeg-arena,,-1
98,Spokane Coliseum,spokane-coliseum,96,
99,Louisville Gardens,louisville-gardens,,
100,Tinsley Arena,tinsley-arena,31,
101,Stabler Arena Lehigh Univ,stabler-arena-lehigh-univ,144,38
102,Bismarck Auditorium,bismarck-auditorium,3,
103,James L Knight International Center,james-l-knight-international-center,41,
104,Northrup Arena,northrup-arena,45,
105,Syria Mosque,syria-mosque,67,
106,Bing Crosby Hall,bing-crosby-hall,103,5
107,The Concert Hall,the-concert-hall,119,
108,Capital Theater,capital-theater,146,30
109,Orpheum Theater,orpheum-theater,25,
110,Opera House,opera-house,25,
111,Civic Auditorium,civic-auditorium,145,36
