entity_id,entity_name,start_year,end_year,entity_type,parent_id,notes
live_nation_entertainment,Live Nation Entertainment,,,company,NULL,
live_nation,Live Nation,,,promoter,live_nation_entertainment,
ticketmaster,Ticketmaster,,,ticket_distributor,,
rainbow_tm,Rainbow-Ticketmaster,,,ticket_distributor,ticketmaster,
ticketron,Ticketron,,,ticket_distributor,,
apple,Apple,,,company,NULL,
apple_music,Apple Music,,,digital service provider,apple,
amazon,Amazon,,,company,NULL,
amazon_music,Amazon Music,,,digital service provider,amazon,
tidal,TIDAL,,,digital service provider,NULL,
youtube,YouTube,,,company,NULL,
youtube_music,YouTube Music,,,digital service provider,youtube,
deezer,Deezer,,,digital service provider,NULL,
serius_xm,Serius XM,,,company,NULL,
pandora,Pandora,,,digital service provider,serius_xm,
spotify,Spotify,,,digital service provider,NULL,
tiktok,TikTok,,,company,NULL,
cbs_inc,CBS Inc.,,,,,
cbs_sony_records,CBS/Sony Records,1968,1988,joint_venture,,
cbs_records_group,CBS Records Group,,,,cbs_inc,
sony_group_corporation,Sony,,,,,
sony_music_entertainment,Sony Music Entertainment,,,,sony_group_corporation,
universal_music_group,Universal Music Group,,,,,
warner_music_group,warner_music_group,,,,,
